WigleWifi-1.4,appRelease=2.26,model=Nexus 5,release=6.0.1,device=hammerhead,display=M4B30Z,board=hammerhead,brand=google
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
24:79:2a:2b:bd:8c,Ariel_University,[ESS],2017-11-07 16:38:41,44,-76,32.10384327,35.21023422,706,4,WIFI
42501_7211_3084804,012 Mobile,UNKNOWN;il,2017-11-07 16:39:12,0,-113,32.10385561,35.21030065,707,4,GSM
ac:37:43:4a:02:e0,shazz2,[WPA2-PSK-CCMP][ESS],2017-11-07 16:39:21,6,-92,32.10408434,35.21084895,705,4,WIFI
8c:0c:90:2e:e8:18,Ariel_University,[ESS],2017-11-07 16:39:21,6,-79,32.10408434,35.21084895,705,4,WIFI
42501_7211_3084801,012 Mobile,UNKNOWN;il,2017-11-07 16:39:21,0,-113,32.10408434,35.21084895,705,4,GSM
1c:b9:c4:15:44:88,Ariel_University,[ESS],2017-11-07 16:39:48,6,-91,32.10504917,35.21182822,699,5,WIFI
42501_7211_3084801,012 Mobile,UNKNOWN;il,2017-11-07 16:39:52,0,-113,32.10523743,35.21193684,695,3,GSM
1c:b9:c4:15:fd:e8,IT-MNG,[WPA2-PSK-CCMP+TKIP][ESS],2017-11-07 16:39:58,6,-90,32.1056504,35.21208279,694,5,WIFI
1c:b9:c4:55:fd:e8,Ariel_University,[ESS],2017-11-07 16:39:58,6,-89,32.1056504,35.21208279,694,5,WIFI
00:27:19:13:fc:a4,KCG_20,[ESS],2017-11-07 16:39:58,11,-92,32.1056504,35.21208279,694,5,WIFI
1c:b9:c4:16:cd:1c,Ariel_University,[ESS],2017-11-07 16:40:01,36,-86,32.10591602,35.21219838,694,5,WIFI
00:1a:dd:e3:06:04,afikim-wifi,[ESS],2017-11-07 16:40:19,1,-87,32.10596009,35.21078653,692,3,WIFI
42501_7211_3084801,012 Mobile,UNKNOWN;il,2017-11-07 16:40:19,0,-113,32.10596009,35.21078653,692,3,GSM
